FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_DOM;DESECH_TN_PERSONA;PERIODO
9/01/2023;14463;150607;SIERRA;LIMA;HUARAL;LAMPIAN;304;279;25;44.81;0.15;2021
9/01/2023;14464;150608;SIERRA;LIMA;HUARAL;PACARAOS;1232;1198;34;196.77;0.16;2021
9/01/2023;14465;150609;SIERRA;LIMA;HUARAL;SAN MIGUEL DE ACOS;631;502;129;80.62;0.13;2021
9/01/2023;14466;150610;SIERRA;LIMA;HUARAL;SANTA CRUZ DE ANDAMARCA;752;317;435;57.85;0.08;2021
9/01/2023;14467;150611;SIERRA;LIMA;HUARAL;SUMBILCA;664;382;282;92.02;0.14;2021
9/01/2023;14468;150612;SIERRA;LIMA;HUARAL;VEINTISIETE DE NOVIEMBRE;380;366;14;36.07;0.09;2021
9/01/2023;14469;150701;SIERRA;LIMA;HUAROCHIRI;MATUCANA;3981;3195;786;489.79;0.12;2021
9/01/2023;14470;150702;COSTA;LIMA;HUAROCHIRI;ANTIOQUIA;1209;379;830;67.55;0.06;2021
9/01/2023;14471;150703;SIERRA;LIMA;HUAROCHIRI;CALLAHUANCA;649;525;124;109.23;0.17;2021
9/01/2023;14472;150704;SIERRA;LIMA;HUAROCHIRI;CARAMPOMA;308;296;12;14.05;0.05;2021
9/01/2023;14473;150705;SIERRA;LIMA;HUAROCHIRI;CHICLA;3095;1753;1342;281.53;0.09;2021
9/01/2023;14474;150706;SIERRA;LIMA;HUAROCHIRI;CUENCA;468;122;346;19.59;0.04;2021
9/01/2023;14475;150707;SIERRA;LIMA;HUAROCHIRI;HUACHUPAMPA;501;487;14;97.77;0.20;2021
9/01/2023;14476;150708;SIERRA;LIMA;HUAROCHIRI;HUANZA;723;593;130;103.89;0.14;2021
9/01/2023;14477;150709;SIERRA;LIMA;HUAROCHIRI;HUAROCHIRI;1224;1068;156;194.91;0.16;2021
9/01/2023;14478;150710;SIERRA;LIMA;HUAROCHIRI;LAHUAYTAMBO;573;265;308;42.56;0.07;2021
9/01/2023;14479;150711;SIERRA;LIMA;HUAROCHIRI;LANGA;826;466;360;74.84;0.09;2021
9/01/2023;14480;150712;SIERRA;LIMA;HUAROCHIRI;LARAOS;558;534;24;85.76;0.15;2021
9/01/2023;14481;150713;SIERRA;LIMA;HUAROCHIRI;MARIATANA;1399;263;1136;42.24;0.03;2021
9/01/2023;14482;150714;COSTA;LIMA;HUAROCHIRI;RICARDO PALMA;6664;6369;295;1697.02;0.25;2021
9/01/2023;14483;150715;SIERRA;LIMA;HUAROCHIRI;SAN ANDRES DE TUPICOCHA;1291;739;552;53.95;0.04;2021
9/01/2023;14484;150716;COSTA;LIMA;HUAROCHIRI;SAN ANTONIO;5992;1376;4616;245.23;0.04;2021
9/01/2023;14485;150717;SIERRA;LIMA;HUAROCHIRI;SAN BARTOLOME;1060;746;314;117.08;0.11;2021
9/01/2023;14486;150718;SIERRA;LIMA;HUAROCHIRI;SAN DAMIAN;1110;932;178;149.68;0.13;2021
9/01/2023;14487;150719;SIERRA;LIMA;HUAROCHIRI;SAN JUAN DE IRIS;629;625;4;118.63;0.19;2021
9/01/2023;14488;150720;SIERRA;LIMA;HUAROCHIRI;SAN JUAN DE TANTARANCHE;339;319;20;93.15;0.27;2021
9/01/2023;14489;150721;SIERRA;LIMA;HUAROCHIRI;SAN LORENZO DE QUINTI;1111;945;166;68.99;0.06;2021
9/01/2023;14490;150722;SIERRA;LIMA;HUAROCHIRI;SAN MATEO;3870;3363;507;392.80;0.10;2021
9/01/2023;14491;150723;SIERRA;LIMA;HUAROCHIRI;SAN MATEO DE OTAO;1313;169;1144;27.14;0.02;2021
9/01/2023;14492;150724;SIERRA;LIMA;HUAROCHIRI;SAN PEDRO DE CASTA;872;663;209;191.18;0.22;2021
9/01/2023;14493;150725;SIERRA;LIMA;HUAROCHIRI;SAN PEDRO DE HUANCAYRE;194;179;15;28.75;0.15;2021
9/01/2023;14494;150726;SIERRA;LIMA;HUAROCHIRI;SANGALLAYA;628;168;460;23.91;0.04;2021
9/01/2023;14495;150727;SIERRA;LIMA;HUAROCHIRI;SANTA CRUZ DE COCACHACRA;2644;2368;276;181.51;0.07;2021
9/01/2023;14496;150728;COSTA;LIMA;HUAROCHIRI;SANTA EULALIA;13397;12702;695;2549.93;0.19;2021
9/01/2023;14497;150729;SIERRA;LIMA;HUAROCHIRI;SANTIAGO DE ANCHUCAYA;278;274;4;63.01;0.23;2021
9/01/2023;14498;150730;SIERRA;LIMA;HUAROCHIRI;SANTIAGO DE TUNA;368;293;75;59.89;0.16;2021
9/01/2023;14499;150731;COSTA;LIMA;HUAROCHIRI;SANTO DOMINGO DE LOS OLLERO;3350;531;2819;94.64;0.03;2021
9/01/2023;14500;150732;SIERRA;LIMA;HUAROCHIRI;SURCO;1350;975;375;156.59;0.12;2021
9/01/2023;14501;150801;COSTA;LIMA;HUAURA;HUACHO;70366;69715;651;19084.48;0.27;2021
9/01/2023;14502;150802;COSTA;LIMA;HUAURA;AMBAR;2027;365;1662;65.05;0.03;2021
9/01/2023;14503;150803;COSTA;LIMA;HUAURA;CALETA DE CARQUIN;8802;8685;117;951.01;0.11;2021
9/01/2023;14504;150804;SIERRA;LIMA;HUAURA;CHECRAS;842;475;367;76.29;0.09;2021
9/01/2023;14505;150805;COSTA;LIMA;HUAURA;HUALMAY;28759;28670;89;7848.41;0.27;2021
9/01/2023;14506;150806;COSTA;LIMA;HUAURA;HUAURA;37005;33063;3942;6516.72;0.18;2021
